Country,Site(Region),Reference,Depth(m),LL(%),PL(%),w(%),s'v (kPa),s'p (kPa),su(test) (kPa),Test Type Su,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.2,82.4,35.6,77.4,74.6,163.0,34.1,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.2,94.9,38.7,82.0,79.5,170.0,35.1,'FV',10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12.2,107.3,41.8,87.7,84.4,182.3,23.3,'FV',10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13.2,111.8,42.9,83.9,89.3,185.0,21.1,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loimaa,,3.0,55.0,25.0,65.0,24.0,48.0,20.0,'FV',11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,51.0,23.0,60.0,31.0,90.0,19.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,75.0,23.0,70.0,38.0,50.0,18.0,'FV',7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.0,48.0,23.0,65.0,52.0,65.0,24.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.0,47.0,23.0,70.0,59.0,85.0,24.0,'FV',13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.0,55.0,25.0,70.0,66.0,67.0,23.0,'FV',13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
